N,Name,Current Price,Change,Change Rate,Volume,Trading Value,Market Cap,Shares,Foreign Ratio,PER,ROE,토론
1703,신한 블룸버그 레버리지 WTI원유 선물 ETN,"13,550",하락435,-3.11%,0,136,"1,000",0.00,"1,206",N/A,N/A,
1704,ACE 글로벌브랜드TOP10블룸버그,"15,050",하락250,-1.63%,0,135,900,0.00,137,N/A,N/A,
1705,N2 블룸버그 2X WTI원유선물 ETN,"13,540",하락410,-2.94%,0,135,"1,000",0.00,2,N/A,N/A,
1706,신한 블룸버그 인버스 2X WTI원유 선물 ETN,"13,540",상승310,+2.34%,0,135,"1,000",0.00,"3,459",N/A,N/A,
1707,신한 인버스 WTI원유 선물 ETN(H),"2,700",상승30,+1.12%,0,135,"5,000",0.00,"10,400",N/A,N/A,
1708,삼성 금 선물 ETN(H),"13,480",하락20,-0.15%,0,135,"1,000",0.00,"4,055",N/A,N/A,
1709,KB 인버스 2X 항셍테크 선물 ETN,"13,405",상승225,+1.71%,0,134,"1,000",0.00,"1,139",N/A,N/A,
1710,SOL 반도체전공정,"8,360",하락340,-3.91%,0,134,"1,600",0.00,"10,968",N/A,N/A,
1711,한투 인버스 플래티넘 선물 ETN,"13,370",상승450,+3.48%,0,134,"1,000",0.00,1,N/A,N/A,
1712,삼성 S&P500 ETN,"13,365",하락55,-0.41%,0,134,"1,000",0.00,7,N/A,N/A,
1713,SOL 미국AI소프트웨어,"10,250",하락190,-1.82%,0,133,"1,300",0.00,"78,033",N/A,N/A,
1714,HANARO Fn K-게임,"4,265",하락20,-0.47%,0,132,"3,100",0.00,165,N/A,N/A,
1715,한투 인버스 2X 유로스탁스50 ETN(H) B,"13,215",상승65,+0.49%,0,132,"1,000",0.00,122,N/A,N/A,
1716,KODEX 필수소비재,"6,605",하락75,-1.12%,0,132,"2,000",0.01,312,N/A,N/A,
1717,파워 코스피100,"27,435",하락345,-1.24%,0,132,480,0.00,8,N/A,N/A,
1718,KODEX 차이나과창판STAR50(합성),"5,250",상승35,+0.67%,0,131,"2,500",0.00,30,N/A,N/A,
1719,TIGER K게임,"7,485",하락30,-0.40%,0,131,"1,750",0.23,"2,514",N/A,N/A,
1720,KOSEF 고배당,"10,910",상승60,+0.55%,0,131,"1,200",0.00,"1,898",N/A,N/A,
1721,WOORI 종합채권(AA-이상)액티브,"49,830",상승20,+0.04%,0,130,260,0.00,397,N/A,N/A,
1722,HANARO 주주가치성장코리아액티브,"10,330",보합0,0.00%,0,129,"1,250",0.00,0,N/A,N/A,
1723,LX홀딩스1우,"8,810",상승30,+0.34%,"1,000",129,"1,465",1.59,8,5.52,N/A,
1724,삼성 레버리지 KRX 2차전지 K-뉴딜 ETN,"2,130",상승90,+4.41%,0,128,"6,000",0.00,"24,265",N/A,N/A,
1725,한진칼우,"23,750",하락250,-1.04%,"2,500",127,537,0.92,12,3.26,N/A,
1726,RISE 5대그룹주,"6,360",하락15,-0.24%,0,127,"2,000",0.00,94,N/A,N/A,
