N,Name,Current Price,Change,Change Rate,Volume,Trading Value,Market Cap,Shares,Foreign Ratio,PER,ROE,토론
1,삼성전자,"74,400","하락2,000",-2.62%,100,"4,441,518","5,969,783",56.14,"6,206,683",18.19,4.15,
2,SK하이닉스,"170,800","하락8,500",-4.74%,"5,000","1,243,428","728,002",54.32,"3,089,108",49.77,-15.61,
3,LG에너지솔루션,"387,000","상승18,500",+5.02%,500,"905,580","234,000",4.87,"233,931",-539.00,6.36,
4,삼성바이오로직스,"968,000","하락23,000",-2.32%,"2,500","688,964","71,174",13.02,"36,755",66.99,9.12,
5,현대차,"260,500","상승1,500",+0.58%,"5,000","545,529","209,416",41.11,"780,198",5.65,13.68,
6,삼성전자우,"60,600","하락1,200",-1.94%,100,"498,669","822,887",76.02,"413,033",14.81,N/A,
7,셀트리온,"200,000","하락1,500",-0.74%,"1,000","434,042","217,021",22.79,"194,473",112.99,5.07,
8,기아,"106,400","상승1,800",+1.72%,"5,000","425,449","399,858",41.11,"711,992",4.45,20.44,
9,KB금융,"87,700","상승1,900",+2.21%,"5,000","353,879","403,511",76.11,"325,455",8.46,8.44,
10,신한지주,"58,200",상승600,+1.04%,"5,000","296,467","509,393",60.81,"315,710",6.99,8.36,
11,POSCO홀딩스,"340,000","상승3,500",+1.04%,"5,000","280,923","82,624",28.91,"68,158",21.26,3.18,
12,삼성물산,"148,400","하락2,100",-1.40%,100,"263,832","177,784",26.96,"55,520",12.18,7.28,
13,NAVER,"163,700",하락100,-0.06%,100,"263,204","160,785",43.09,"140,090",17.34,4.41,
14,삼성SDI,"346,500","상승7,000",+2.06%,"5,000","238,269","68,765",38.07,"127,583",14.30,11.48,
15,LG화학,"317,500","상승4,000",+1.28%,"5,000","224,131","70,592",35.75,"88,563",156.64,4.20,
16,현대모비스,"221,500","하락2,500",-1.12%,"5,000","205,984","92,995",40.32,"55,833",5.93,8.73,
17,삼성생명,"97,600","상승2,300",+2.41%,500,"195,200","200,000",20.88,"50,937",10.78,4.95,
18,하나금융지주,"63,900",상승600,+0.95%,"5,000","186,816","292,357",69.12,"534,420",5.60,9.01,
19,메리츠금융지주,"96,400","상승3,400",+3.66%,500,"183,854","190,720",16.82,"137,818",9.46,28.11,
20,HD현대중공업,"188,800","하락2,400",-1.26%,"5,000","167,604","88,773",10.06,"48,208",82.19,0.47,
21,포스코퓨처엠,"215,500","상승4,500",+2.13%,500,"166,933","77,463",9.50,"82,406","-10,775.00",1.19,
22,삼성화재,"351,000","상승10,000",+2.93%,500,"166,286","47,375",53.87,"34,438",9.31,12.73,
23,카카오,"36,950",하락200,-0.54%,100,"163,870","443,492",26.57,"245,586",-16.90,-10.26,
24,LG전자,"97,700",하락600,-0.61%,"5,000","159,884","163,648",32.47,"102,443",15.87,3.69,
25,크래프톤,"328,000","하락4,000",-1.20%,100,"157,092","47,894",40.83,"20,801",17.79,11.16,
26,한화에어로스페이스,"290,000",보합0,0.00%,"5,000","146,827","50,630",36.65,0,52.51,25.60,
27,한국전력,"22,250",하락300,-1.33%,"5,000","142,837","641,964",15.06,"727,058",5.38,-12.63,
28,KT&G,"108,600","하락1,200",-1.09%,"5,000","141,530","130,322",44.84,"95,296",14.06,9.76,
29,HD한국조선해양,"187,000",상승300,+0.16%,"5,000","132,346","70,773",30.31,"65,518",16.69,2.26,
30,HMM,"17,080",하락300,-1.73%,"5,000","127,936","749,039",10.51,"329,265",7.18,4.59,
31,LG,"80,000",하락800,-0.99%,"5,000","125,841","157,301",35.31,"21,279",12.73,4.89,
32,우리금융지주,"16,140",상승110,+0.69%,"5,000","119,854","742,592",44.72,"522,136",4.98,8.30,
33,SK텔레콤,"54,900",하락900,-1.61%,100,"117,920","214,790",42.39,"145,823",10.24,9.63,
34,삼성에스디에스,"149,500",보합0,0.00%,500,"115,680","77,378",19.00,"21,410",16.39,8.22,
35,두산에너빌리티,"17,870",하락610,-3.30%,"5,000","114,468","640,561",21.24,"1,547,359",72.06,0.78,
36,유한양행,"140,800","상승5,300",+3.91%,"1,000","112,934","80,209",21.14,"5,672,599",76.44,6.74,
37,기업은행,"14,130",상승100,+0.71%,"5,000","112,676","797,426",15.31,"223,196",4.13,8.79,
38,고려아연,"544,000","상승5,000",+0.93%,"5,000","112,626","20,703",18.34,"5,077",20.43,5.72,
39,HD현대일렉트릭,"306,000","하락16,000",-4.97%,"5,000","110,304","36,047",34.30,"156,748",24.64,27.71,
40,한미반도체,"113,600","하락9,200",-7.49%,100,"110,185","96,994",12.38,"776,228",70.04,55.54,
41,카카오뱅크,"22,200",하락100,-0.45%,"5,000","105,878","476,929",16.36,"136,822",29.06,6.00,
42,SK,"144,400","상승1,800",+1.26%,200,"104,694","72,503",23.56,"25,575",-25.37,-3.67,
43,삼성전기,"139,800","하락2,800",-1.96%,"5,000","104,422","74,694",34.31,"120,634",19.56,5.50,
44,SK이노베이션,"108,100","상승1,300",+1.22%,"5,000","103,490","95,736",21.76,"91,698",-296.98,1.22,
45,SK스퀘어,"75,400","하락6,300",-7.71%,100,"101,601","134,750",53.06,"161,906",10.21,-8.04,
46,한화오션,"33,000",상승650,+2.01%,"5,000","101,116","306,413",17.42,"418,478",17.24,6.33,
47,KT,"39,000",하락300,-0.76%,"5,000","98,288","252,022",47.23,"93,634",9.24,6.05,
48,포스코인터내셔널,"54,000",상승900,+1.69%,"5,000","94,998","175,923",6.42,"200,347",14.93,13.36,
49,KODEX CD금리액티브(합성),"1,046,540",상승195,+0.02%,0,"92,848","8,872",0.00,"128,551",N/A,N/A,
50,SK바이오팜,"117,700","상승4,500",+3.98%,500,"92,175","78,313",11.50,"422,700",272.45,-10.96,
51,삼성중공업,"10,290",보합0,0.00%,"1,000","90,552","880,000",31.45,"846,283",-91.88,-4.22,
52,현대글로비스,"114,100","하락2,000",-1.72%,500,"85,575","75,000",42.24,"104,416",7.74,14.52,
53,DB손해보험,"119,800",상승800,+0.67%,500,"84,818","70,800",47.86,"21,524",4.73,15.66,
54,대한항공,"22,100",하락100,-0.45%,"5,000","81,377","368,221",16.43,"157,440",6.80,11.46,
55,하이브,"184,900","상승2,900",+1.59%,500,"77,015","41,652",20.25,"59,580",99.46,6.58,
56,아모레퍼시픽,"124,700",하락800,-0.64%,500,"72,940","58,493",29.79,"71,223",12.65,3.72,
57,S-Oil,"62,600",하락300,-0.48%,"2,500","70,477","112,583",76.34,"27,503",8.58,10.83,
58,현대차2우B,"189,100","상승12,800",+7.26%,"5,000","67,621","35,759",63.03,"381,642",4.10,N/A,
59,HD현대,"80,800",하락700,-0.86%,"1,000","63,826","78,993",20.14,"31,255",12.13,3.57,
60,TIGER CD금리투자KIS(합성),"54,860",상승15,+0.03%,0,"60,965","111,128",0.00,"36,929",N/A,N/A,
61,KODEX 200,"36,135",하락460,-1.26%,0,"60,797","168,250",29.92,"1,546,178",N/A,N/A,
62,LG이노텍,"253,500","하락5,500",-2.12%,"5,000","59,996","23,667",27.14,"25,679",8.37,12.59,
63,에코프로머티,"85,100","상승1,600",+1.92%,500,"58,779","69,071",24.83,"135,136",-411.11,0.91,
64,현대로템,"52,300","하락1,200",-2.24%,"5,000","57,081","109,142",24.10,"469,102",23.23,10.06,
65,LG생활건강,"355,500","하락4,000",-1.11%,"5,000","55,523","15,618",27.56,"22,236",37.26,2.65,
66,LG디스플레이,"10,880",하락220,-1.98%,"5,000","54,400","500,000",21.34,"240,655",-2.36,-31.95,
67,한국타이어앤테크놀로지,"43,550",하락600,-1.36%,500,"53,948","123,875",39.60,"59,774",4.64,7.85,
68,삼성카드,"45,950","상승1,650",+3.72%,"5,000","53,237","115,859",6.89,"34,093",8.29,7.61,
69,한국항공우주,"53,500",하락500,-0.93%,"5,000","52,149","97,475",32.32,"78,869",18.99,14.81,
70,맥쿼리인프라,"11,890",상승10,+0.08%,0,"51,814","435,781",11.44,"75,771",N/A,N/A,
71,넷마블,"60,200",하락700,-1.15%,100,"51,744","85,954",25.80,"22,856",-237.94,-4.90,
72,코웨이,"68,400",상승400,+0.59%,500,"50,479","73,800",60.36,"32,143",9.70,19.03,
73,삼성E&A,"25,750",하락450,-1.72%,"5,000","50,470","196,000",47.11,"96,014",6.79,24.45,
74,미래에셋증권,"8,430",상승90,+1.08%,"5,000","50,185","595,316",13.61,"143,668",25.09,2.97,
75,LS ELECTRIC,"164,700","상승1,100",+0.67%,"5,000","49,410","30,000",19.44,"176,798",21.96,12.61,
76,CJ제일제당,"323,500","하락12,000",-3.58%,"5,000","48,700","15,054",26.02,"12,638",10.53,5.55,
77,한국가스공사,"51,200","상승1,100",+2.20%,"5,000","47,264","92,313",6.96,"793,538",-28.21,-7.68,
78,SKC,"124,000",하락500,-0.40%,"5,000","46,957","37,868",16.03,"56,977",-14.48,-17.57,
79,HD현대마린솔루션,"103,700",상승400,+0.39%,500,"46,095","44,450",1.47,"24,157",27.45,71.59,
80,한진칼,"68,700","하락1,100",-1.58%,"2,500","45,866","66,762",21.89,"14,742",9.42,14.79,
81,현대오토에버,"165,000","상승1,800",+1.10%,500,"45,250","27,424",1.76,"95,103",31.05,9.01,
82,KODEX KOFR금리액티브(합성),"107,855",상승5,0.00%,0,"45,086","41,802",0.00,"6,635",N/A,N/A,
83,NH투자증권,"13,720",상승120,+0.88%,"5,000","44,932","327,492",18.10,"124,578",8.05,7.50,
84,한화솔루션,"25,800",보합0,0.00%,"5,000","44,348","171,893",21.53,"99,295",-3.89,-2.48,
85,현대차우,"183,800","상승7,800",+4.43%,"5,000","43,877","23,872",66.65,"194,361",3.98,N/A,
86,두산밥캣,"43,400",하락100,-0.23%,500,"43,508","100,249",36.06,"168,331",5.57,16.79,
87,TIGER 미국S&P500,"18,520",하락250,-1.33%,0,"43,281","233,700",0.03,"2,579,720",N/A,N/A,
88,LG유플러스,"9,820",하락10,-0.10%,"5,000","42,875","436,611",35.14,"176,923",7.76,7.49,
89,GS,"46,100",하락100,-0.22%,"5,000","42,834","92,915",23.02,"15,471",3.36,10.05,
90,LIG넥스원,"193,200","하락4,800",-2.42%,"5,000","42,504","22,000",20.53,"40,936",22.38,17.61,
91,두산로보틱스,"65,500",하락600,-0.91%,500,"42,457","64,820",3.41,"37,897",-304.65,-6.59,
92,SK바이오사이언스,"54,700",하락500,-0.91%,500,"42,025","76,828",6.92,"30,947",153.22,1.30,
93,한국금융지주,"74,800",상승600,+0.81%,"5,000","41,683","55,726",41.34,"32,254",6.17,8.81,
94,엔씨소프트,"189,400","상승1,900",+1.01%,500,"41,581","21,954",36.18,"19,044",21.14,6.58,
95,삼성증권,"46,250",상승150,+0.33%,"5,000","41,301","89,300",30.63,"56,479",7.54,8.54,
96,HD현대미포,"102,400",상승100,+0.10%,"5,000","40,901","39,942",21.04,"40,587",-56.67,-6.96,
97,포스코DX,"25,600",하락400,-1.54%,500,"38,921","152,035",6.48,"123,639",46.38,21.08,
98,한미약품,"302,500","상승6,000",+2.02%,"2,500","38,753","12,811",19.03,"22,916",21.02,16.01,
99,금호석유,"134,600",상승800,+0.60%,"5,000","37,247","27,673",23.96,"9,270",9.86,7.77,
100,시프트업,"63,800",보합0,0.00%,200,"37,218","58,335",1.45,"60,544",29.92,86.44,
101,오리온,"93,700",보합0,0.00%,500,"37,045","39,536",27.25,"70,982",9.48,13.91,
102,TIGER KOFR금리액티브(합성),"106,385",상승5,0.00%,0,"36,910","34,695",0.00,"9,249",N/A,N/A,
103,삼양식품,"478,500","하락8,000",-1.64%,"5,000","36,045","7,533",14.98,"15,370",17.49,24.81,
104,현대건설,"32,150",하락50,-0.16%,"5,000","35,801","111,356",23.75,"88,454",6.62,6.77,
105,TIGER 미국나스닥100,"114,095","하락2,635",-2.26%,0,"35,700","31,290",0.02,"75,774",N/A,N/A,
106,롯데케미칼,"82,500","하락1,500",-1.79%,"5,000","35,290","42,775",24.67,"22,143",-12.64,-0.33,
107,키움증권,"138,200","상승2,700",+1.99%,"5,000","35,278","25,527",26.45,"13,209",10.28,9.27,
108,LS,"109,000","하락2,700",-2.42%,"5,000","35,098","32,200",16.69,"53,766",7.18,9.63,
109,한화시스템,"18,180",하락270,-1.46%,"5,000","34,346","188,919",5.76,"328,454",20.61,16.87,
110,현대제철,"25,450",하락400,-1.55%,"5,000","33,962","133,446",21.77,"77,596",-83.72,2.44,
111,CJ,"114,800","하락3,500",-2.96%,"5,000","33,495","29,177",14.62,"27,676",9.48,3.64,
112,코스모신소재,"102,400",하락900,-0.87%,"1,000","33,291","32,511",13.82,"31,836",119.77,7.41,
113,BNK금융지주,"10,220",상승180,+1.79%,"5,000","32,917","322,088",39.08,"266,709",5.22,6.38,
114,카카오페이,"24,450",하락150,-0.61%,500,"32,910","134,602",37.96,"50,483","1,063.04",0.14,
115,강원랜드,"15,340",상승70,+0.46%,500,"32,818","213,940",11.68,"97,859",8.17,9.61,
116,엘앤에프,"89,100",하락100,-0.11%,500,"32,340","36,296",21.76,"40,749",-7.80,-16.35,
117,현대해상,"35,450",상승150,+0.42%,500,"31,692","89,400",39.58,"47,896",4.13,7.81,
118,JB금융지주,"14,620",상승50,+0.34%,"5,000","28,521","195,083",37.77,"66,787",4.83,12.23,
119,씨에스윈드,"65,700","상승1,000",+1.55%,500,"27,707","42,171",14.05,"178,513",46.73,2.24,
120,KODEX 종합채권(AA-이상)액티브,"113,535",하락30,-0.03%,0,"27,452","24,179",0.01,"9,459",N/A,N/A,
121,효성중공업,"287,000","하락9,000",-3.04%,"5,000","26,761","9,325",12.31,"42,848",19.86,11.29,
122,금양,"45,850","하락1,650",-3.47%,500,"26,616","58,050",11.41,"595,792",-28.96,-38.52,
123,TIGER 미국테크TOP10 INDXX,"19,550",하락560,-2.78%,0,"26,539","135,750",0.36,"803,335",N/A,N/A,
124,TIGER 미국필라델피아반도체나스닥,"17,445",하락780,-4.28%,0,"26,490","151,850",0.39,"1,377,748",N/A,N/A,
125,이수페타시스,"41,500","하락4,150",-9.09%,"1,000","26,247","63,246",10.81,"1,629,243",46.84,19.51,
126,휠라홀딩스,"43,400","상승1,000",+2.36%,"1,000","26,082","60,096",46.81,"55,835",22.63,2.25,
127,한화생명,"2,985",상승10,+0.34%,"5,000","25,926","868,530",10.72,"378,147",4.16,5.43,
128,KCC,"289,500","하락2,500",-0.86%,"5,000","25,726","8,886",14.65,"4,721",4.65,4.13,
129,한전기술,"66,900",하락800,-1.18%,200,"25,569","38,220",7.93,"40,562",68.06,5.99,
130,롯데지주,"24,300",하락150,-0.61%,200,"25,493","104,909",8.15,"21,560",-8.92,-0.22,
131,두산,"144,500","하락1,900",-1.30%,"5,000","23,877","16,524",20.56,"41,315",-12.19,-22.74,
132,SK아이이테크놀로지,"33,000",하락500,-1.49%,"1,000","23,528","71,298",10.50,"64,964",-34.81,3.58,
133,농심,"385,000","하락4,000",-1.03%,"5,000","23,418","6,083",19.20,"2,404",13.89,7.26,
134,KODEX 200TR,"12,620",하락150,-1.17%,0,"22,773","180,450",0.00,"15,276",N/A,N/A,
135,GS리테일,"21,700",하락50,-0.23%,"1,000","22,724","104,718",7.57,"23,307",51.54,0.44,
136,대한전선,"12,160",하락220,-1.78%,"1,000","22,672","186,447",7.36,"385,468",19.42,7.83,
137,에스원,"58,700",상승600,+1.03%,500,"22,306","37,999",55.83,"8,793",12.10,12.14,
138,한화,"29,400",하락250,-0.84%,"5,000","22,038","74,959",12.51,"25,848",-11.25,3.52,
139,F&F,"57,500",하락400,-0.69%,100,"22,027","38,307",12.33,"8,993",5.64,38.43,
140,한온시스템,"4,075",하락75,-1.81%,100,"21,752","533,800",10.00,"199,844",-17.27,2.21,
141,한미사이언스,"31,800",상승700,+2.25%,500,"21,749","68,392",2.40,"73,440",18.76,15.23,
142,KODEX 레버리지,"18,045",하락475,-2.56%,0,"21,735","120,450",0.48,"7,197,600",N/A,N/A,
143,CJ대한통운,"93,700","하락2,200",-2.29%,"5,000","21,375","22,812",12.76,"17,103",9.38,6.27,
144,KODEX 24-12 은행채(AA+이상)액티브,"10,390",보합0,0.00%,0,"21,212","204,160",0.00,"3,497",N/A,N/A,
145,제일기획,"18,180",상승60,+0.33%,200,"20,914","115,041",23.33,"31,900",10.97,14.99,
146,아모레G,"24,750",하락250,-1.00%,500,"20,408","82,458",10.72,"33,559",8.63,3.57,
147,녹십자,"171,600","상승2,100",+1.24%,"5,000","20,054","11,687",19.57,"34,239",-52.51,-2.03,
148,한올바이오파마,"38,200",상승400,+1.06%,500,"19,956","52,241",6.88,"565,654",-321.01,1.98,
149,RISE 머니마켓액티브,"52,825",상승5,+0.01%,0,"19,707","37,306",0.00,"18,084",N/A,N/A,
150,에이피알,"258,500","상승2,500",+0.98%,500,"19,698","7,620",12.14,"25,880",21.09,54.88,
151,팬오션,"3,660",하락70,-1.88%,"1,000","19,565","534,570",12.35,"504,375",9.31,5.32,
152,BGF리테일,"112,400",상승700,+0.63%,"1,000","19,427","17,284",30.86,"7,841",10.20,19.23,
153,TIGER 200,"36,200",하락430,-1.17%,0,"19,313","53,350",11.09,"134,764",N/A,N/A,
154,한전KPS,"42,100",하락900,-2.09%,200,"18,945","45,000",12.60,"61,271",10.58,13.08,
155,더존비즈온,"62,300","하락1,400",-2.20%,500,"18,928","30,383",9.90,"31,573",43.29,8.19,
156,호텔신라,"47,400",하락500,-1.04%,"5,000","18,604","39,248",14.17,"29,598",-137.39,14.98,
157,동서,"18,540",하락130,-0.70%,500,"18,484","99,700",4.16,"20,802",11.12,9.23,
158,DB하이텍,"40,800",하락850,-2.04%,"5,000","18,115","44,399",22.05,"80,582",8.43,15.65,
159,풍산,"64,300",상승700,+1.10%,"5,000","18,020","28,024",19.85,"79,414",8.77,8.22,
160,GS건설,"20,800",상승150,+0.73%,"5,000","17,801","85,581",21.44,"168,561",-11.18,-10.54,
161,이마트,"63,600",하락400,-0.62%,"5,000","17,729","27,876",17.81,"46,395",-13.49,-0.79,
162,롯데에너지머티리얼즈,"38,050",상승250,+0.66%,500,"17,545","46,111",9.04,"42,669",319.75,-2.25,
163,HDC현대산업개발,"26,600","상승1,050",+4.11%,"5,000","17,531","65,907",14.46,"316,448",8.98,5.87,
164,롯데쇼핑,"61,300",하락300,-0.49%,"5,000","17,341","28,289",8.03,"6,787",-403.29,1.83,
165,영원무역,"38,100",하락600,-1.55%,500,"16,883","44,311",28.61,"14,376",3.45,17.03,
166,대웅제약,"145,700","하락3,200",-2.15%,"2,500","16,882","11,587",9.06,"31,314",18.58,17.70,
167,오뚜기,"420,000","하락1,500",-0.36%,"5,000","16,833","4,008",11.96,551,10.09,8.55,
168,KODEX 1년은행양도성예금증서+액티브(합성),"1,013,265",상승85,+0.01%,0,"16,723","1,650",0.00,"5,217",N/A,N/A,
169,대우건설,"4,020",하락5,-0.12%,"5,000","16,708","415,623",11.75,"413,897",4.20,13.19,
170,KODEX 미국S&P500TR,"16,925",하락225,-1.31%,0,"16,595","98,050",0.11,"938,586",N/A,N/A,
171,종근당,"125,700",하락400,-0.32%,"2,500","16,560","13,174",15.95,"41,553",7.78,29.56,
172,현대엘리베이,"42,150",하락600,-1.40%,"5,000","16,477","39,092",26.90,"10,388",35.07,26.15,
173,한국앤컴퍼니,"17,310",하락130,-0.75%,500,"16,433","94,935",9.73,"11,619",4.82,4.76,
174,HL만도,"34,400",하락400,-1.15%,"1,000","16,153","46,957",27.97,"32,036",8.39,6.18,
175,SK가스,"175,000","하락1,100",-0.62%,"5,000","16,153","9,230",7.13,"1,232",7.45,12.85,
176,LG화학우,"208,500","상승3,000",+1.46%,"5,000","16,031","7,689",55.66,"6,132",102.86,N/A,
177,ACE 미국30년국채액티브(H),"8,845",하락15,-0.17%,0,"15,841","179,100",0.01,"398,874",N/A,N/A,
178,에스엘,"34,100",하락100,-0.29%,500,"15,839","46,449",16.92,"28,496",4.21,18.83,
179,한솔케미칼,"138,400","하락3,400",-2.40%,"5,000","15,688","11,335",41.10,"10,495",13.47,13.10,
180,한국콜마,"66,100",상승100,+0.15%,500,"15,603","23,605",32.30,"51,944",265.46,0.79,
181,TIGER 24-12 금융채(AA-이상),"51,790",상승10,+0.02%,0,"15,173","29,298",0.00,21,N/A,N/A,
182,신세계,"151,300","상승1,300",+0.87%,"5,000","14,896","9,845",16.33,"3,604",7.38,5.41,
183,대웅,"25,200",상승250,+1.00%,500,"14,652","58,142",5.47,"35,995",12.40,17.31,
184,하이트진로,"20,800",하락300,-1.42%,"5,000","14,588","70,134",11.00,"64,278",16.97,3.16,
185,코리안리,"8,730",상승80,+0.92%,500,"14,437","165,368",27.07,"19,078",6.34,9.51,
186,세방전지,"103,000","하락1,800",-1.72%,500,"14,420","14,000",28.90,"44,650",8.46,9.29,
187,TIGER 차이나전기차SOLACTIVE,"6,395",하락85,-1.31%,0,"14,269","223,120",0.64,"206,595",N/A,N/A,
188,현대위아,"52,300",상승100,+0.19%,"5,000","14,223","27,195",15.42,"16,785",9.58,2.73,
189,DGB금융지주,"8,320",상승50,+0.60%,"5,000","14,073","169,146",43.51,"59,407",4.24,6.73,
190,KODEX 단기채권PLUS,"111,695",상승20,+0.02%,0,"14,048","12,577",0.00,"1,188",N/A,N/A,
191,SK리츠,"5,190",하락20,-0.38%,500,"14,022","270,175",8.31,"36,344",305.29,0.43,
192,KODEX 200선물인버스2X,"2,065",상승55,+2.74%,0,"13,957","675,900",0.85,"62,751,341",N/A,N/A,
193,이수스페셜티케미컬,"46,050","상승1,900",+4.30%,"1,000","13,911","30,208",6.77,"553,701",-359.77,N/A,
194,OCI홀딩스,"71,000",하락400,-0.56%,"5,000","13,890","19,564",23.63,"6,245",4.47,18.69,
195,코스맥스,"122,200",하락600,-0.49%,500,"13,869","11,350",29.35,"14,858",19.03,12.11,
196,HD현대인프라코어,"7,130",하락90,-1.25%,"1,000","13,736","192,656",10.69,"173,965",10.47,13.37,
197,신영증권,"83,000","상승1,400",+1.72%,"5,000","13,645","16,440",7.08,"1,046",9.71,9.27,
198,금호타이어,"4,705",하락70,-1.47%,"5,000","13,516","287,260",8.81,"61,270",4.91,13.20,
199,롯데웰푸드,"142,100","하락3,700",-2.54%,500,"13,407","9,435",13.59,"3,983",11.21,3.46,
200,KODEX 코스닥150레버리지,"8,830",하락140,-1.56%,0,"13,369","151,400",0.23,"4,687,855",N/A,N/A,
201,에스디바이오센서,"10,730",하락350,-3.16%,500,"13,356","124,477",6.62,"203,655",-6.86,-16.22,
202,태영건설,"4,620",보합0,0.00%,500,"13,189","285,470",0.10,0,-0.04,-685.73,
203,KODEX 삼성그룹,"9,420",하락70,-0.74%,0,"12,745","135,300",13.33,"14,679",N/A,N/A,
204,효성티앤씨,"293,500",보합0,0.00%,"5,000","12,702","4,328",14.14,"2,001",9.71,7.46,
205,TIGER 미국배당다우존스,"11,865",하락15,-0.13%,0,"12,630","106,450",0.00,"155,732",N/A,N/A,
206,롯데정밀화학,"48,450",하락100,-0.21%,"5,000","12,500","25,800",20.57,"8,794",10.12,7.78,
207,RISE 종합채권(A-이상)액티브,"105,250",하락60,-0.06%,0,"12,479","11,857",0.00,56,N/A,N/A,
208,효성첨단소재,"277,000","상승1,500",+0.54%,"5,000","12,409","4,480",11.43,"2,258",41.17,5.13,
209,한샘,"52,600","하락2,300",-4.19%,"1,000","12,379","23,534",14.38,"22,831",83.10,-15.77,
210,DL이앤씨,"31,900",하락100,-0.31%,"5,000","12,343","38,694",27.99,"17,309",10.15,4.12,
211,RISE 200,"36,385",하락485,-1.32%,0,"12,316","33,850",0.06,"62,379",N/A,N/A,
212,LX인터내셔널,"31,600",하락100,-0.32%,"5,000","12,248","38,760",23.86,"49,331",10.09,5.17,
213,롯데칠성,"131,300","하락1,700",-1.28%,500,"12,183","9,279",12.06,"2,650",9.37,11.61,
214,산일전기,"39,750","하락1,750",-4.22%,500,"12,102","30,445",4.83,"384,365",4.51,47.00,
215,ACE 미국S&P500,"18,720",하락250,-1.32%,0,"12,074","64,500",0.44,"81,671",N/A,N/A,
216,두산퓨얼셀,"18,400",하락180,-0.97%,100,"12,051","65,494",11.74,"33,616",-141.54,-1.64,
217,TIGER MSCI Korea TR,"15,470",하락170,-1.09%,0,"11,958","77,300",0.00,19,N/A,N/A,
218,CJ CGV,"7,190",상승50,+0.70%,500,"11,905","165,580",6.52,"280,308",-12.70,-24.12,
219,KG모빌리티,"6,000",상승50,+0.84%,"5,000","11,782","196,365",24.84,"144,165",18.63,0.82,
220,동원시스템즈,"40,400",하락400,-0.98%,"5,000","11,712","28,991",14.01,"4,616",16.61,8.56,
221,롯데렌탈,"31,400",하락650,-2.03%,"5,000","11,503","36,634",5.50,"14,031",12.14,9.01,
222,KODEX 미국나스닥100TR,"17,070",하락390,-2.23%,0,"11,462","67,150",0.06,"278,858",N/A,N/A,
223,영원무역홀딩스,"83,200",하락800,-0.95%,500,"11,345","13,636",19.56,959,2.99,16.88,
224,한화엔진,"13,530",하락20,-0.15%,"1,000","11,290","83,447",6.36,"67,596",45.10,-0.19,
225,LX세미콘,"68,700",하락800,-1.15%,500,"11,174","16,264",29.28,"8,351",7.69,10.50,
226,현대백화점,"47,650",상승200,+0.42%,"5,000","11,151","23,402",22.18,"5,244",-4.82,-1.76,
227,KODEX 2차전지산업,"16,360",상승230,+1.43%,0,"10,994","67,200",0.18,"453,444",N/A,N/A,
228,동양생명,"6,810",하락170,-2.44%,"5,000","10,989","161,359",82.16,"402,310",5.39,6.97,
229,동원산업,"30,200",하락200,-0.66%,"1,000","10,879","36,022",1.35,"2,814",5.85,8.62,
230,TIGER TOP10,"11,945",하락145,-1.20%,0,"10,739","89,900",31.87,"10,385",N/A,N/A,
231,TIGER 2차전지테마,"19,550",상승345,+1.80%,0,"10,733","54,900",0.80,"176,241",N/A,N/A,
232,ESR켄달스퀘어리츠,"5,030",하락20,-0.40%,"1,000","10,718","213,089",44.19,"14,752",21.05,1.05,
233,KODEX Top5PlusTR,"23,025",하락255,-1.10%,0,"10,661","46,300",10.80,"11,694",N/A,N/A,
234,메리츠 KIS CD금리투자 ETN,"52,660",상승15,+0.03%,0,"10,585","20,100",0.00,"2,004",N/A,N/A,
235,SK네트웍스,"4,780",하락20,-0.42%,"2,500","10,577","221,278",16.40,"80,463",63.73,-0.03,
236,더블유게임즈,"49,200",하락900,-1.80%,500,"10,576","21,496",16.41,"20,179",6.15,18.62,
237,한일시멘트,"14,710",하락190,-1.28%,500,"10,188","69,262",3.74,"21,760",4.86,11.21,
238,HD현대건설기계,"53,400",하락600,-1.11%,"5,000","10,064","18,847",15.14,"24,937",13.86,9.17,
239,KODEX 25-11 은행채(AA-이상)PLUS액티브,"10,235",하락5,-0.05%,0,"10,051","98,200",0.00,230,N/A,N/A,
240,경동나비엔,"68,800",상승100,+0.15%,"1,000","10,023","14,569",11.25,"12,193",9.93,15.09,
241,파라다이스,"10,910",하락140,-1.27%,500,"10,012","91,772",5.72,"39,157",15.03,4.52,
242,일진전기,"20,950",하락500,-2.33%,"1,000","9,990","47,685",7.06,"182,218",19.71,9.65,
243,TIGER CD1년금리액티브(합성),"1,021,150",상승285,+0.03%,0,"9,972",976,0.00,"8,286",N/A,N/A,
244,오리온홀딩스,"15,790",하락60,-0.38%,500,"9,892","62,645",7.55,"17,520",9.03,3.93,
245,ACE 미국나스닥100,"19,600",하락450,-2.24%,0,"9,859","50,300",0.00,"93,065",N/A,N/A,
246,TIGER 25-10 회사채(A+이상)액티브,"53,410",상승20,+0.04%,0,"9,816","18,378",0.00,"17,353",N/A,N/A,
247,대덕전자,"19,760",하락490,-2.42%,500,"9,765","49,417",10.08,"76,702",42.31,2.95,
248,DL,"46,550",하락400,-0.85%,"5,000","9,755","20,956",14.31,"7,593","15,516.70",-3.44,
249,미원상사,"201,500",하락500,-0.25%,500,"9,571","4,750",3.04,547,16.28,16.95,
